"job_title","job_title_short","job_location","search_location","job_schedule_type","job_no_degree_mention","job_health_insurance","salary_year_avg","company_name"
"Data Analyst","Data Analyst","Anywhere","India","Full-time",1,"","650000.0","Mantys"
"Data Analyst, Marketing","Data Analyst","Anywhere","California, United States","Full-time","","","232423.0","Pinterest Job Advertisements"
"Data Analyst (Hybrid/Remote)","Data Analyst","Anywhere","California, United States","Full-time","","","217000.0","Uclahealthcareers"
"ERM Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"184000.0","Get It Recruit - Information Technology"
"DTCC Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time",1,1,"170000.0","Robert Half"
"Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","Data Analyst","Anywhere","Sudan","Contractor","","","170000.0","Kelly Science, Engineering, Technology & Telecom"
"Data Analyst","Data Analyst","Anywhere","United Kingdom","Full-time","","","165000.0","Plexus Resource Solutions"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"165000.0","Get It Recruit - Information Technology"
"SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","Data Analyst","Anywhere","Illinois, United States","Full-time",1,"","160000.0","Robert Half"
"System Data Analyst","Data Analyst","Anywhere","New York, United States","","","","157500.0","Edgewater Federal Solutions, Inc."
"Applied Scientist - Maps","Data Analyst","Anywhere","California, United States","Full-time","",1,"157500.0","Uber"
"Data Analyst - Remote","Data Analyst","Anywhere","Saint Vincent and the Grenadines","Full-time","","","155485.5","CaptivateIQ"
"Staff Business Data Analyst (Remote U.S. OK)","Data Analyst","Anywhere","California, United States","Full-time",1,1,"152625.0","Zscaler"
"Staff Business Data Analyst (Remote U.S. OK)","Data Analyst","Anywhere","California, United States","Full-time",1,1,"152625.0","Zscaler"
"Management & Program Analyst (Data Analytics)","Data Analyst","Anywhere","New York, United States","Full-time and Part-time",1,1,"152221.5","US Patent and Trademark Office"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"151500.0","Get It Recruit - Healthcare"
"Mid-Level Data BI Analyst","Data Analyst","Anywhere","Florida, United States","Full-time","",1,"150000.0","Patterned Learning AI"
"Mid-Level Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"150000.0","Patterned Learning AI"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time",1,"","145000.0","CyberCoders"
"Data Scientist Analyst","Data Analyst","Anywhere","Georgia","Full-time","","","145000.0","ALTA IT Services"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"145000.0","Level"
"Data Analyst - up to 160K+","Data Analyst","Anywhere","New York, United States","Full-time",1,1,"145000.0","Hire With Jarvis"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"140500.0","Uber"
"People Data Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","","","140500.0","Insight Global"
"Product Data Analyst","Data Analyst","Anywhere","California, United States","Full-time",1,1,"140000.0","Motion Recruitment"
"Qlik/Power BI Data Analyst | $130K-$150K + ESOP |100% USA-Remote","Data Analyst","Anywhere","New York, United States","Full-time",1,1,"140000.0","IT Pros"
"Data Analyst (Product Data Analyst)","Data Analyst","Anywhere","Sudan","Full-time","","","139000.0","Revolut"
"Digital Marketing Data Analyst (Hybrid)","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"138640.0","United Services Automobile Association"
"Data Analyst","Data Analyst","Anywhere","Greece","Full-time","","","138500.0","Overmind"
"Secret Data Analyst Remote / Telecommute Jobs","Data Analyst","Anywhere","New York, United States","Contractor","","","137500.0","Insight Global, Inc."
"Data Analyst - Advanced Analytics","Data Analyst","Anywhere","New York, United States","Full-time","",1,"135000.0","Get It Recruit - Hospitality"
"Data Analyst","Data Analyst","Anywhere","Illinois, United States","Full-time","","","135000.0","InvestM Technology LLC"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"135000.0","EPIC Brokers"
"Quantitative Scientist (Remote)","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"132500.0","Osmind"
"Data Insights Analyst III","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"132500.0","Get It Recruit - Information Technology"
"Data Analyst III","Data Analyst","Anywhere","California, United States","Full-time",1,"","132500.0","SoftDev Incorporated"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"130000.0","Doximity"
"Data Analyst must have telecom domain experince","Data Analyst","Anywhere","Sudan","Contractor",1,"","130000.0","ApTask"
"System Data Analyst","Data Analyst","Anywhere","California, United States","Full-time",1,"","130000.0","Alpha Silicon"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time",1,1,"127000.0","Acorns"
"Marketing Data Analyst (Remote)","Data Analyst","Anywhere","California, United States","Full-time",1,1,"127000.0","Cash App"
"Behavioral Health Data Analyst- REMOTE","Data Analyst","Anywhere","Georgia","Full-time","","","126452.0","ICF"
"Mid-Level Decision Science Analyst","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"125930.0","USAA"
"Strategy and Data Analyst, Sustainability","Data Analyst","Anywhere","New York, United States","Full-time","",1,"125500.0","Uber"
"Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time",1,"","125000.0","Robert Half"
"Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"125000.0","The Walt Disney Company"
"Healthcare Data Analyst","Data Analyst","Anywhere","California, United States","Full-time","",1,"125000.0","Get It Recruit - Real Estate"
"Data Science Analyst 2 (Pop Health)","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"125000.0","Starbridge Partners"
"Data Analyst, Operations (Remote)","Data Analyst","Anywhere","California, United States","Full-time","",1,"125000.0","hims & hers"
"Data Analyst: regional physical security","Data Analyst","Anywhere","California, United States","Full-time","","","124500.0","Blackstone Consulting, Inc."
"Data Analyst, Support Operations","Data Analyst","Anywhere","Texas, United States","Full-time",1,1,"124000.0","Cloudflare"
"Business Data Analyst with SQL (Strong)","Data Analyst","Anywhere","Illinois, United States","Full-time","",1,"122500.0","Innova Solutions"
"Decision Science Analyst - Consumer Lending","Data Analyst","Anywhere","Texas, United States","Full-time","","","122500.0","Analytic Recruiting Inc."
"Financial Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"122500.0","Get It Recruit - Finance"
"Sales Ops Data Analyst (Remote)","Data Analyst","Anywhere","California, United States","Full-time","",1,"122000.0","CloudFlare"
"Sales Ops Data Analyst (Austin, TX or Remote)","Data Analyst","Anywhere","Texas, United States","Full-time","",1,"122000.0","Cloudflare"
"Business Intelligence Data Analyst","Data Analyst","Anywhere","New York, United States","Full-time","",1,"120000.0","LAI"
"Lifeforce: Data Analyst (Remote)","Data Analyst","Anywhere","New York, United States","Full-time","","","120000.0","M13"
