"skills","demand_count","avg_salary"
"sql","352","93255"
"excel","235","83741"
"tableau","204","95134"
"python","202","96270"
"r","131","96061"
"sas","110","95440"
"power bi","98","91960"
"powerpoint","53","84362"
"word","46","81701"
"looker","43","100464"
"sheets","32","86088"
"oracle","30","99773"
"sql server","27","88833"
"azure","26","95192"
"snowflake","24","98061"
"flow","23","96096"
"spss","22","91470"
"aws","21","96881"
"vba","21","83908"
"javascript","20","97587"
"hadoop","19","107353"
"go","19","105244"
"sharepoint","18","81634"
"jira","17","93532"
"java","14","107989"
"alteryx","14","93318"
"bigquery","13","109654"
"qlik","13","99631"
"ssrs","12","91867"
"outlook","12","89217"
"spark","11","93636"
"redshift","11","88133"
"nosql","10","89214"
"confluence","9","97556"
"ssis","9","94044"
"c++","9","92671"
"c#","9","85100"
"html","8","86438"
"dax","7","94929"
"t-sql","7","91143"
"sap","7","90579"
"mysql","7","88071"
"visio","7","81072"
"databricks","6","128287"
"pandas","6","119927"
"c","6","89657"
"spreadsheet","6","81892"
"windows","6","74124"
"bash","5","95970"
"matlab","5","94200"
"github","5","91580"
"ms access","5","82543"
"matplotlib","5","76301"
"smartsheet","5","63000"
