"skills","demand_count"
"sql","1692"
"python","1691"
"aws","656"
"tableau","503"
"spark","406"
"excel","379"
"java","283"
"airflow","279"
"kafka","275"
"kubernetes","262"
"docker","246"
"linux","238"
"azure","233"
"power bi","232"
"gcp","226"
"mongodb","212"
"r","208"
"pandas","204"
"looker","198"
"nosql","196"
"pytorch","179"
"go","177"
"snowflake","168"
"bigquery","164"
"hadoop","156"
"tensorflow","143"
"mysql","138"
"scala","137"
"numpy","134"
"git","133"
"elasticsearch","121"
"scikit-learn","119"
"flow","117"
"c++","108"
"redshift","100"
"jenkins","99"
"databricks","90"
"c#","84"
"oracle","83"
"c","83"
"terraform","81"
"redis","78"
"qlik","77"
"sas","72"
"ruby","68"
"postgresql","67"
"sql server","65"
"windows","59"
"github","58"
"bash","58"
"javascript","56"
"keras","49"
"pyspark","48"
"monday.com","47"
"typescript","46"
"node.js","43"
"shell","39"
"powerpoint","35"
"cassandra","35"
"react","34"
"matlab","33"
"ansible","33"
"word","32"
"spring","32"
"dynamodb","31"
"matplotlib","30"
"ssis","29"
"jira","28"
"no-sql","27"
"neo4j","25"
"gitlab","25"
"sheets","24"
"express","24"
"html","23"
"pulumi","23"
"graphql","23"
"angular","22"
"golang","22"
"chef","22"
"css","21"
"perl","21"
"unix","20"
"jupyter","20"
"mongo","20"
"nltk","19"
"seaborn","18"
"splunk","15"
"ssrs","15"
"vba","15"
"couchbase","14"
"sap","13"
"bitbucket","13"
"powershell","13"
"unity","13"
"plotly","11"
"hugging face","11"
"vmware","11"
"t-sql","11"
"gdpr","10"
"rust","10"
"assembly","10"
"kotlin","9"
"opencv","9"
"swift","9"
"django","9"
"spss","8"
"outlook","8"
"ruby on rails","8"
"php","8"
"selenium","8"
"puppet","8"
"react.js","8"
"node","8"
"slack","7"
"couchdb","7"
"dax","7"
"cognos","6"
"firebase","6"
"zoom","6"
"flask","5"
"npm","5"
"ibm cloud","5"
"spreadsheet","5"
